sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:﻿field,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
cT,1b,1625,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919211,cT1b,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,155,2,,,0.55,FLAGGED,EQUAL,TIM,1.72E+12,36308047,R155T,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pT,1b1,69,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919616,pT1b1,Meas Value,MAPS_TO,,TIM,1.72E+12,
HER2,1,156,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
pM,0,34837,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919673,cM0,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,1,6742,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919638,cN1,Meas Value,MAPS_TO,,TIM,1.72E+12,
cM,a,2,,,0,FLAGGED,EQUAL,TIM,1.72E+12,0,Unmapped,,MAPS_TO,,,0,
cM,1a,925,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919827,cM1a,Meas Value,MAPS_TO,,TIM,1.72E+12,
c-erbB-2,Negative,1,,,1,FLAGGED,WIDER,TIM,1.72E+12,9189,Negative,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,3c,35,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919745,cT3c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,92,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815337,92,Observation,MAPS_TO,,<auto>,1.72E+12,
pN,2a,422,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919423,pN2a,Meas Value,MAPS_TO,,TIM,1.72E+12,
pT,3c,26,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919837,pT3c,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,47,12,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815235,47,Observation,MAPS_TO,,<auto>,1.72E+12,
pM,2,1,,,0,FLAGGED,EQUAL,TIM,1.72E+12,4106768,Stage 2,Meas Value,MAPS_TO,,TIM,1.72E+12,
cN,2:00 AM,1,,,0.51,FLAGGED,EQUAL,TIM,1.72E+12,44792857,"Timed collection: specimen collection, 12:00 hours",Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,35,285,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37159536,III:5,Meas Value,MAPS_TO,,<auto>,1.72E+12,
pN,2:00 AM,2,,,0.51,FLAGGED,EQUAL,TIM,1.72E+12,44792857,"Timed collection: specimen collection, 12:00 hours",Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,44,7,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37164016,IV:4,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,200,2,,,0.9,FLAGGED,EQUAL,TIM,1.72E+12,45882781,2000,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,105,4,,,0.68,FLAGGED,EQUAL,TIM,1.72E+12,4130736,1051,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cM,0,28415,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919673,cM0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,2.4,2,,,0.54,FLAGGED,EQUAL,TIM,1.72E+12,922372,pectin 2.4 MG,Drug,MAPS_TO,,<auto>,1.72E+12,
pN,X,1877,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919633,pNX,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,1,2938,,,0,APPROVED,EQUAL,TIM,1.72E+12,35919386,cT1,Meas Value,MAPS_TO,,TIM,1.72E+12,
cT,0c,2,,,0.43,APPROVED,EQUAL,TIM,1.72E+12,35919314,cT0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,500,1,,,1,FLAGGED,EQUAL,TIM,1.72E+12,45882143,500,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cN,0a,1,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919027,cN0a,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,33,21,,,1,FLAGGED,EQUAL,TIM,1.72E+12,36310897,33,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,95,11,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815343,95,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,37,11,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37159538,III:7,Meas Value,MAPS_TO,,<auto>,1.72E+12,
cN,0c,1,,,0.43,FLAGGED,EQUAL,TIM,1.72E+12,35815190,30cm,Observation,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,21,34,,,1,FLAGGED,EQUAL,TIM,1.72E+12,37163970,II:1,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,97,1,,,0.38,FLAGGED,EQUAL,TIM,1.72E+12,4079001,1974,Meas Value,MAPS_TO,,<auto>,1.72E+12,
Max Tumour Diameter,50,229,,,1,FLAGGED,EQUAL,TIM,1.72E+12,35815256,50,Observation,MAPS_TO,,<auto>,1.72E+12,
pM,0a,3,,,1,APPROVED,EQUAL,TIM,1.72E+12,35919673,cM0,Meas Value,MAPS_TO,,TIM,1.72E+12,
Max Tumour Diameter,76,1,,,0.32,FLAGGED,EQUAL,TIM,1.72E+12,4131996,An 776,Meas Value,MAPS_TO,,<auto>,1.72E+12,
BCL2,Positive,1,,,1,FLAGGED,WIDER,TIM,1.72E+12,9191,Positive,Meas Value,MAPS_TO,,TIM,1.72E+12,
