sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
RD/4336/27,mg/l,36515,,0.00,APPROVED,EQUAL,vvcb,1722945321817,8751,milligram per liter,Unit,MAPS_TO,,vvcb,1722945315912,
RD/3715/35,U/ml,8477,,0.00,APPROVED,EQUAL,vvcb,1722946117808,8763,unit per milliliter,Unit,MAPS_TO,,vvcb,1722946114480,
RD/3388/5,KU/l,64,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4090/18,g/L,2381,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/3360/4,nmol/L,48671,,0.26,APPROVED,EQUAL,vvcb,1722945707026,8736,nanomole per liter,Unit,MAPS_TO,,vvcb,1722945696431,
RD/3882/12,Titre Units,2440,,0.48,APPROVED,EQUAL,vvcb,1722946170963,8525,titer,Unit,MAPS_TO,,vvcb,1722946167214,
RD/4324/5,KU/l,70,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3784/35,g/L,2090,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/4715/9,nmol/L,6031,,0.26,APPROVED,EQUAL,vvcb,1722945707026,8736,nanomole per liter,Unit,MAPS_TO,,vvcb,1722945696431,
RD/4066/5,KU/l,91,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3882/13,Titre Units,2440,,0.48,APPROVED,EQUAL,vvcb,1722946170963,8525,titer,Unit,MAPS_TO,,vvcb,1722946167214,
RD/1191/18,g/L,1963,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/5060/42,%,806771,,0.00,APPROVED,EQUAL,vvcb,1722944779909,8554,percent,Unit,MAPS_TO,,vvcb,1722944766299,
RD/3608/25,KU/l,14400,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3882/14,Titre Units,2438,,0.48,APPROVED,EQUAL,vvcb,1722946170963,8525,titer,Unit,MAPS_TO,,vvcb,1722946167214,
RD/4126/5,mmol/L,6031476,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/4010/18,g/L,633,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/3389/5,KU/l,648,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/1817/5,mmol/L,1259874,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/3882/15,Titre Units,2438,,0.48,APPROVED,EQUAL,vvcb,1722946170963,8525,titer,Unit,MAPS_TO,,vvcb,1722946167214,
RD/4009/18,g/L,348,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/5447/5,KU/L,12,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4099/37,mmol/L,1101444,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/4714/5,mg/L,44072,,0.00,APPROVED,EQUAL,vvcb,1722945321817,8751,milligram per liter,Unit,MAPS_TO,,vvcb,1722945315912,
RD/4678/18,g/L,124,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/4065/5,KU/l,93,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4151/38,mmol/L,540572,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/4677/18,g/L,49,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/747/5,ml/min/1.73sqm,38224,,0.21,APPROVED,EQUAL,vvcb,1722945406543,720870,milliliter per minute per 1.73 square meter,Unit,MAPS_TO,,<auto>,1722943947590,
RD/3921/38,mmol/L,237045,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/4063/5,KU/l,12,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3933/5,g/l,32,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/4683/33,U/L,3561270,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3318/2,mmol/L,131790,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/3386/5,KU/l,347,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4716/5,g/L,15,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/4011/2,mmol/L,116204,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/4099/33,U/L,1100711,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3393/5,KU/l,49,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4676/18,g/L,3,,0.00,APPROVED,EQUAL,vvcb,1722945022518,8636,gram per liter,Unit,MAPS_TO,,vvcb,1722945010448,
RD/4101/40,mmol/L,32122,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/1971/33,U/L,788507,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3394/5,KU/l,306,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4254/10,mg/mmol creat,565251,,0.29,APPROVED,EQUAL,vvcb,1722945344914,9075,milligram per millimole of creatinine,Unit,MAPS_TO,,vvcb,1722945341475,
RD/2246/17,mg/l,22005,,0.00,APPROVED,EQUAL,vvcb,1722945321817,8751,milligram per liter,Unit,MAPS_TO,,vvcb,1722945315912,
RD/4151/33,U/L,538220,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3395/5,KU/l,170,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/2188/8,pmol/L,2266,,0.24,APPROVED,EQUAL,vvcb,1722945843520,8729,picomole per liter,Unit,MAPS_TO,,vvcb,1722945839712,
RD/4699/42,mg,1510,,0.04,APPROVED,EQUAL,vvcb,1722945264090,8576,milligram,Unit,MAPS_TO,,vvcb,1722945263333,
RD/3339/33,U/L,371678,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/70/5,pmol/L,239,,0.24,APPROVED,EQUAL,vvcb,1722945843520,8729,picomole per liter,Unit,MAPS_TO,,vvcb,1722945839712,
RD/3396/5,KU/l,231,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/2052/5,mmol/L,1568,,0.30,APPROVED,EQUAL,vvcb,1722945547250,8753,millimole per liter,Unit,MAPS_TO,,vvcb,1722945538195,
RD/4682/33,U/L,244471,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4683/16,U/L,2701672,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3608/27,KU/l,14405,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/2052/7,mg,1566,,0.04,APPROVED,EQUAL,vvcb,1722945269601,8576,milligram,Unit,MAPS_TO,,vvcb,1722945268539,
RD/3921/33,U/L,237819,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3398/5,KU/l,737,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3622/5,ug/L,39265,,0.00,APPROVED,EQUAL,vvcb,1722946064387,8748,microgram per liter,Unit,MAPS_TO,,vvcb,1722946058031,
RD/4671/6,U/L,2533,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3602/25,KU/l,56020,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3360/2,nmol/L,85342,,0.26,APPROVED,EQUAL,vvcb,1722945707026,8736,nanomole per liter,Unit,MAPS_TO,,vvcb,1722945696431,
RD/3340/16,U/L,1107533,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4090/33,U/L,2383,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/3400/5,KU/l,7968,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/1884/5,nmol/L,15607,,0.26,APPROVED,EQUAL,vvcb,1722945707026,8736,nanomole per liter,Unit,MAPS_TO,,vvcb,1722945696431,
RD/4099/16,U/L,1101058,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/1191/29,U/L,1963,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4991/9,nmol/L,5165,,0.26,APPROVED,EQUAL,vvcb,1722945707026,8736,nanomole per liter,Unit,MAPS_TO,,vvcb,1722945696431,
RD/4064/5,KU/l,40,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/1971/16,U/L,788937,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/1878/6,U/L,993,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/2056/5,mg/L,3552,,0.00,APPROVED,EQUAL,vvcb,1722945321817,8751,milligram per liter,Unit,MAPS_TO,,vvcb,1722945315912,
RD/3403/5,KU/l,190,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3339/16,U/L,374750,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4129/33,U/L,376,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4789/5,mU/L,5428,,0.03,APPROVED,EQUAL,vvcb,1722945654354,44777578,milliunit per liter,Unit,MAPS_TO,,vvcb,1722945623310,
RD/3604/29,KU/l,15293,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4682/16,U/L,255861,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4683/22,umol/L,3563592,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/3402/5,KU/l,587,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4101/16,U/L,32109,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4099/22,umol/L,1101291,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/3406/5,KU/l,122,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3341/16,U/L,2725,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/1971/22,umol/L,789014,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/3606/25,KU/l,2325,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/4090/16,U/L,2385,,0.00,APPROVED,EQUAL,vvcb,1722946141683,8645,unit per liter,Unit,MAPS_TO,,vvcb,1722946132716,
RD/4151/22,umol/L,540128,,0.30,APPROVED,EQUAL,vvcb,1722945971142,8749,micromole per liter,Unit,MAPS_TO,,vvcb,1722945962358,
RD/3405/5,KU/l,303,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3607/27,KU/l,10355,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
RD/3410/5,KU/l,536,,0.09,APPROVED,EQUAL,vvcb,1722945223708,8810,kilounit per liter,Unit,MAPS_TO,,vvcb,1722945214442,
