sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
AD/1551/1,cm,1,,0.00,APPROVED,EQUAL,vvcb,1704710159657,8582,centimeter,Unit,MAPS_TO,,vvcb,1704710155318,
MC/3995/35/124/5,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
RD/4735/49,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
MC/4409/53/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708787246,
AD/1938/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708787340,
RD/6429/39,grams,1,,0.62,APPROVED,EQUAL,vvcb,1704710396206,8504,gram,Unit,MAPS_TO,,<auto>,1704708787434,
MC/536/43/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708787480,
MC/6346/15/568/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708787621,
AG/1962/1/1226/13,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
RD/692/3,cm H20,1,,0.49,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
RD/4736/49,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
MC/5249/68/246/14,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
RD/6418/7,grams,1,,0.62,APPROVED,EQUAL,vvcb,1704710396206,8504,gram,Unit,MAPS_TO,,<auto>,1704708787887,
AG/1944/1/1218/16,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708787981,
MC/536/43/71/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708788122,
MC/4769/35/124/5,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
AG/1301/2/257/10,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
MC/6346/24/600/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708788262,
RD/6418/8,grams,1,,0.62,APPROVED,EQUAL,vvcb,1704710396206,8504,gram,Unit,MAPS_TO,,<auto>,1704708788325,
RD/4737/49,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AD/11/2,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
AD/1945/18,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708788637,
MC/4769/35/124/4,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
AG/1706/1/257/10,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
MC/537/42/71/2,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708788778,
MC/6346/24/600/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708788903,
RD/1757/11,hours,1,,0.78,APPROVED,EQUAL,vvcb,1704710403608,8505,hour,Unit,MAPS_TO,,<auto>,1704708788903,
RD/6035/31,%,1,,0.00,APPROVED,EQUAL,vvcb,1704709998222,8554,percent,Unit,MAPS_TO,,vvcb,1704709983134,
AD/11/5,mmHg,1,,0.12,APPROVED,EQUAL,vvcb,1704712826724,8876,millimeter mercury column,Unit,MAPS_TO,,vvcb,1704712814584,
AG/1945/35/1228/3,milliliters,1,,0.92,APPROVED,EQUAL,vvcb,1704711309742,8587,milliliter,Unit,MAPS_TO,,<auto>,1704708789262,
AG/253/117/760/10,secs,1,,0.37,APPROVED,EQUAL,vvcb,1704712929835,8555,second,Unit,MAPS_TO,,vvcb,1704712922850,
AG/1731/3/1186/10,cm H2O,1,,0.74,APPROVED,EQUAL,vvcb,1704715172360,44777590,centimeter watercolumn,Unit,MAPS_TO,,vvcb,1704715166520,
